bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
Renewi,renewi.com,geraden en bevestigd,Business Analist Health &amp; Wellbeing,2026-09-21,Eindhoven Area,3,nee,https://nl.linkedin.com/jobs/view/business-analist-health-wellbeing-at-renewi-4446037479,retourverwerking,ok,,,4,,,,,0,onze dienstver,,,,,
Revelane,revelane.com,geraden en bevestigd,Revenue Operations Specialist,2026-08-02,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/revenue-operations-specialist-at-revelane-4447872190,customer journey specialist,ok,,,,,loox,,,0,,,,,,
Rex.zone,rexzone.com,geraden en bevestigd,Remote Data Labeling Jobs in Amsterdam,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/remote-data-labeling-jobs-in-amsterdam-at-rex-zone-4446717854,retourverwerking,ok,,,,,,,,0,,,,,,
Rexel Nederland,rexel.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-11,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-rexel-nederland-b-v-4466315212,online sales medewerker,ok,,,,chatgpt-bot,,,ja,0,,,,,,
REYM B.V.,reym.nl,geraden en bevestigd,Commercieel medewerker,2026-09-18,Sittard,2,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-at-reym-bv-4462211245,retourverwerking,ok,,,3,,,,,0,,,3833 LD,+31334558890,,
Rheinmetall,rheinmetall.com,geraden en bevestigd,Meewerkend Voorman Assemblage,2026-09-19,Ede,2,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-assemblage-at-rheinmetall-4466951976,retourverwerking,ok,,,11,,,,,0,,,,,,
Rijksvastgoedbedrijf,rijksvastgoedbedrijf.nl,geraden en bevestigd,Beheerder Revisiebescheiden (Specialist Technische Vastgoedinformatie) in regio Oost en Zuid,2026-09-21,Arnhem,2,nee,https://nl.linkedin.com/jobs/view/beheerder-revisiebescheiden-specialist-technische-vastgoedinformatie-in-regio-oost-en-zuid-at-rijksvastgoedbedrijf-4469929287,retourverwerking,ok,,,,whatsapp,,,,1,veiling,,2500 BD,+31 70 214 02 14,,
Riwald Recycling Netherlands,riwald.nl,geraden en bevestigd,Operations Manager,2026-09-16,Almelo,1,nee,https://nl.linkedin.com/jobs/view/operations-manager-at-riwald-recycling-4465989648,retourverwerking,ok,,,6,,,,,0,,,7604 PJ,,,
RIWO,riwo.eu,geraden en bevestigd,Kwaliteitsmedewerker panelen,2026-09-22,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/kwaliteitsmedewerker-panelen-at-riwo-4469012378,retourverwerking,ok,,,1,,,,,0,,08160422,7575 EJ,+31541537390,,
Roem van Yerseke,roemvanyerseke.nl,geraden en bevestigd,Medewerker Verkoop Customer Service,2026-07-30,Nieuwer-ter-Aa,2,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-customer-service-at-roem-van-yerseke-4446761448,online sales medewerker,ok,,,,,,,,0,,,,,,ja
Rols Machineonderdelen B.V.,rols.nl,geraden en bevestigd,Expeditiemedewerker,2026-04-20,Valkenswaard,1,nee,https://nl.linkedin.com/jobs/view/expeditiemedewerker-at-rols-machineonderdelen-b-v-4403388069,e-fulfilment medewerker,ok,,,3,,,,,0,,17075362,5667 KW,0031402868888,,
ROSEN,rosen.nl,geraden en bevestigd,Allround Logistiek Medewerker (Packer),2026-09-17,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/allround-logistiek-medewerker-packer-at-rosen-4467572046,retourverwerking,ok,,,,,,,,0,,,1431 VM,+31614847501,,
RouteVision Nederland,routevision.com,geraden en bevestigd,Growth Marketing Specialist (32-40 uur · Rotterdam),2026-07-27,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-marketing-specialist-32-40-uur-%C2%B7-rotterdam-at-routevision-nederland-4445903527,customer journey specialist,ok,,,7,hubspot,trustpilot,,,0,,27358864,3068 AV,,,
Royal Dutch Jaarbeurs,jaarbeurs.nl,geraden en bevestigd,Campaign &amp; performance marketeer IT Media,2026-08-19,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/campaign-performance-marketeer-it-media-at-royal-dutch-jaarbeurs-4455435422,customer journey specialist,ok,,,3,,,,,0,,,3521 AL,,,
Rungis,rungis.nl,geraden en bevestigd,Orderpicker,2026-07-02,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/orderpicker-at-rungis-4436336604,retourverwerking,ok,,,4,whatsapp,,,ja,0,,,2991 LV,+31180617899,,
RWE,rwe.com,geraden en bevestigd,Werktuigkundige / Proces Operator Energiecentrale Eemshaven,2026-09-22,Eemshaven,7,nee,https://nl.linkedin.com/jobs/view/werktuigkundige-proces-operator-energiecentrale-eemshaven-at-rwe-4452473562,retourverwerking,ok,,,26,,,,,0,,,,,,
S&you Nederland,syou.com,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-03,Alblasserdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-s-you-nederland-4462788064,online sales medewerker,ok,,,,,,,,0,,,,,,
Saleslift Studio,salesliftstudio.com,geraden en bevestigd,Go-to-market Engineer (NL),2026-07-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/go-to-market-engineer-nl-at-saleslift-studio-4447599371,customer journey specialist,ok,,,2,hubspot,,,,1,,,,0203086622,,
Sam Friday,samfriday.com,geraden en bevestigd,Marketingmanager,2026-08-03,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-sam-friday-2438183638,brand manager webshop,ok,,,,hubspot,,ja,,3,,,,,,
Saman Groep,saman.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-08-25,Zierikzee,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-saman-groep-4456547214,online sales medewerker,ok,,,,chatgpt-bot,,,,0,,,,,,
Samotics,samotics.com,geraden en bevestigd,Revenue Operations Specialist,2026-08-28,Leiden,1,nee,https://nl.linkedin.com/jobs/view/revenue-operations-specialist-at-samotics-4458073416,customer journey specialist,ok,,,,hubspot,,,,0,,,2333 CW,,,
Sapph Lingerie,sapph.com,geraden en bevestigd,Brand Marketeer,2026-09-10,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/brand-marketeer-at-sapph-lingerie-4463439765,brand manager webshop,onbereikbaar,,,,,,,,,,,,,,
Schipper Accountants,schipperaccountants.nl,geraden en bevestigd,Mede­werker Marke­ting &amp; Commu­nicatie,2026-09-02,Goes,1,nee,https://nl.linkedin.com/jobs/view/mede%C2%ADwerker-marke%C2%ADting-commu%C2%ADnicatie-at-schipper-accountants-4461325637,content specialist webshop,ok,,,,,,,,0,onze dienstver,,,088 48 21 000,,
ScreenPoint Medical,screenpoint-medical.com,geraden en bevestigd,Information Security Officer,2026-09-04,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/information-security-officer-at-screenpoint-medical-4454107059,webcare,ok,,,,hubspot,,,,0,,,,+31242020020,,
Securitas Belgium,securitas.be,geraden en bevestigd,Client Care Officer,2026-09-02,"Machelen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/client-care-officer-at-securitas-belgium-4455623130,klantenservice medewerker,ok,,,2,hubspot,,,,0,api[- ]documen,,,,,
Sensorfact,sensorfact.nl,geraden en bevestigd,Fulfilment Center Assistant,2026-08-25,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/fulfilment-center-assistant-at-sensorfact-4458794751,e-fulfilment medewerker,ok,,,,hubspot,,,,0,demo aanvragen,,1114 AE,0031307810015,,
Shopware,shopware.com,geraden en bevestigd,Director International Sales (m/f/d),2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/director-international-sales-m-f-d-at-shopware-4467841970,orderpicker webshop,ok,,,6,,,,ja,0,api[- ]documen,,,0080074676260,,
Sia,sia.nl,geraden en bevestigd,"Senior Consultant Marketing, Customer Experience and Digital Transformation",2026-04-24,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/senior-consultant-marketing-customer-experience-and-digital-transformation-at-sia-4403740224,customer journey specialist,ok,,,,,,,,0,,,,,,ja
Snackpilot,snackpilot.nl,geraden en bevestigd,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/sales-representative-m-f-d-full-time-or-part-time-remote-at-snackpilot-4456505809,online sales medewerker,ok,shopify,65,183,zendesk,,ja,,1,,,,,,
Soleo Groep,soleo.com,geraden en bevestigd,Klantcontact medewerker DPG Media Arnhem,2026-08-05,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-dpg-media-arnhem-at-soleo-groep-4449645116,online sales medewerker,ok,,,,hubspot,,,,0,,,,8333895800,,ja
Solide Intermediair BV,solideintermediair.nl,geraden en bevestigd,Expeditiemedewerker Magazijn,2026-08-15,Lelystad,6,nee,https://nl.linkedin.com/jobs/view/expeditiemedewerker-magazijn-at-solide-intermediair-bv-4453792470,e-fulfilment medewerker,ok,,,,,,,,0,,,1335 XL,036-8413791,,
Solvari,solvari.nl,geraden en bevestigd,CRO Specialist,2026-09-21,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/cro-specialist-at-solvari-4468726139,customer journey specialist,ok,,,,,trustpilot,,,0,onze dienstver,50972243,3528 BB,020 262 6228,,
Somnox,nl.somnox.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-marketeer-at-somnox-4467727583,brand manager webshop,ok,woocommerce,,,intercom,trustpilot,ja,,2,,,3013 AK,0108994105,,
Sortiva bv,sortiva.nl,geraden en bevestigd,Machinist recycling,2026-09-17,Middenmeer,5,nee,https://nl.linkedin.com/jobs/view/machinist-recycling-at-sortiva-bv-4467567925,retourverwerking,ok,,,,,,,,0,,,,,,
Spadework,spadework.ai,geraden en bevestigd,Frontend Developer,2026-07-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/frontend-developer-at-spadework-4440411258,webcare,ok,,,4,,loox,,,0,,,,,,
Spoed Energie,spoedenergie.nl,geraden en bevestigd,Verkoop,2026-09-10,Valkenswaard,1,nee,https://nl.linkedin.com/jobs/view/verkoop-at-spoed-energie-4465835224,online sales medewerker,ok,,,,whatsapp,,,,0,,,,0251730490,,
Spotzer Digital,spotzerdigital.com,geraden en bevestigd,Sales Agent (Dutch/Flemish-speaking) – AI Digital Marketing Products and Services,2026-03-30,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-agent-dutch-flemish-speaking-%E2%80%93-ai-digital-marketing-products-and-services-at-spotzer-digital-4392900510,online sales medewerker,ok,,,11,chatgpt-bot,,,,0,,,,,,ja
Spring Professional Belgium,springprofessional.be,geraden en bevestigd,Custmer Care FR/NL,2026-09-11,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/custmer-care-fr-nl-at-spring-professional-belgium-4466082341,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,,
Stassen Hifi,stassen.nl,geraden en bevestigd,Commercieel medewerker binnendienst (M/V/D),2026-09-18,Tegelen,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-m-v-d-at-stassen-hifi-4467874198,online sales medewerker,ok,,,,whatsapp,trustpilot,,,3,veiling,12009319,5931 CS,+31773207320,,
SThree,sthree.be,geraden en bevestigd,Senior Global Marketing Automation Specialist,2026-08-28,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/senior-global-marketing-automation-specialist-at-sthree-4458076710,customer journey specialist,ok,,,,,,,,0,,,,,,
Stichting RIONED,stichtingrioned.nl,geraden en bevestigd,Junior Kenniscoördinator,2026-09-09,Ede,1,nee,https://nl.linkedin.com/jobs/view/junior-kennisco%C3%B6rdinator-at-stichting-rioned-4465079041,retourverwerking,ok,,,,,,,,0,,,6717 LT,,,
Stories,stories.nl,geraden en bevestigd,Commercial Membership Advisor,2026-08-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/commercial-membership-advisor-at-stories-4451361088,online sales medewerker,ok,,,,,trustpilot,,,0,,,1031 HM,0886422710,671,
SV Werkt,svwerkt.nl,geraden en bevestigd,Young Professional Verzuim,2026-09-22,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/young-professional-verzuim-at-sv-werkt-4470403478,retourverwerking,ok,,,,,,,,0,,,3901 EC,0888870500,,
Swap,swap.nl,geraden en bevestigd,Director of Product,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/director-of-product-at-swap-4437035911,orderpicker webshop,ok,woocommerce,,,,,ja,,1,,,9351VA,,,
Syntegon,syntegon.com,geraden en bevestigd,Warehouse Operator - Shipping,2026-09-22,Weert,2,nee,https://nl.linkedin.com/jobs/view/warehouse-operator-shipping-at-syntegon-4460048302,e-fulfilment medewerker,ok,,,3,hubspot,,,,0,api[- ]documen,,,,,
TAGGRS,taggrs.io,geraden en bevestigd,Lifecycle Marketeer (Part-time/Fulltime),2026-09-15,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/lifecycle-marketeer-part-time-fulltime-at-taggrs-4465539367,customer journey specialist,ok,,,6,hubspot,,,,0,api[- ]documen,,8448 EB,,,
TAKKT Group,takkt.de,geraden en bevestigd,Inside Sales &amp; Customer Service Manager (m/f/d),2026-09-11,Lisse,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-customer-service-manager-m-f-d-at-takkt-group-4446893842,klantcontact,ok,,,,,,,,0,,,,,,ja
TD SYNNEX Netherlands,nl.tdsynnex.com,geraden en bevestigd,Commercieel administratief medewerker,2026-09-21,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/commercieel-administratief-medewerker-at-td-synnex-netherlands%E2%80%8B-4469874546,online sales medewerker,ok,,,,,,,,0,,,,,,
Team Rockstars IT,rockstarsit.com,geraden en bevestigd,Salesforce Specialist,2026-09-21,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/salesforce-specialist-at-team-rockstars-it-4469848752,customer journey specialist,ok,,,4,chatgpt-bot,,,,0,,,,,,
The Branding Club,thebrandingclub.com,geraden en bevestigd,Medior Accountmanager,2026-08-09,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/medior-accountmanager-at-the-branding-club-4450977452,klantcontact,ok,shopify,,4,hubspot,,ja,ja,0,,,,,,
The Builder Studios,thebuilderstudios.com,geraden en bevestigd,Account Manager,2026-07-26,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/account-manager-at-the-builder-studios-4445361542,online sales medewerker,ok,,,,,,,,0,,,1016 CG,,,
The DJ Company,thedjcompany.nl,geraden en bevestigd,Sales and Service agent,2026-09-18,Groningen,1,nee,https://nl.linkedin.com/jobs/view/sales-and-service-agent-at-the-dj-company-4466917367,online sales medewerker,ok,,,4,trengo|whatsapp,klantenvertellen,,,0,,,,+31854019438,,ja
The Lean Six Sigma Company,theleansixsigmacompany.com,geraden en bevestigd,Account Manager,2026-09-10,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/account-manager-at-the-lean-six-sigma-company-4465634134,klantcontact,ok,,,,,,,,0,,,,,,
The Neon Company,theneoncompany.nl,geraden en bevestigd,Inside Sales Medewerker - Commerciële Binnendienst | €2.500–€3.200 + performance bonus.,2026-08-20,Vianen,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-commerci%C3%ABle-binnendienst-%E2%82%AC2-500%E2%80%93%E2%82%AC3-200-%2B-performance-bonus-at-the-neon-company-4456719593,online sales medewerker,ok,woocommerce,,16,,,ja,,1,api[- ]documen,,4131NR,+31 30 207 24 67,,
The New Crew,thenewcrew.nl,geraden en bevestigd,Junior Applicatiebeheerder,2026-09-15,Zeist,1,nee,https://nl.linkedin.com/jobs/view/junior-applicatiebeheerder-at-the-new-crew-4465549317,webcare,ok,,,,whatsapp,,,,0,,,1021 KN,+31203030282,,
The Trainee Company,thetraineecompany.nl,geraden en bevestigd,Junior accountmanager,2026-09-07,Bunnik,1,nee,https://nl.linkedin.com/jobs/view/junior-accountmanager-at-the-trainee-company-4464096690,klantcontact,ok,,,,,,,,0,,,3981 LB,(088) 02 80 860,,
Thermaflex Nederland,thermaflex.com,geraden en bevestigd,Logistiek Medewerker Expeditie,2026-09-22,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-expeditie-at-thermaflex-nederland-4469009315,e-fulfilment medewerker,ok,,,19,,,,,0,,,5145 NS,0031416567777,,
Thermo Fisher Scientific,thermofisher.com,geraden en bevestigd,Marketing Automation Specialist,2026-09-10,Landsmeer,2,nee,https://nl.linkedin.com/jobs/view/marketing-automation-specialist-at-thermo-fisher-scientific-4463426027,customer journey specialist,ok,,,41,,,,,0,,,,,,
Things I Like Things I Love,thingsilikethingsilove.com,geraden en bevestigd,Allround warehouse associate,2026-08-12,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/allround-warehouse-associate-at-things-i-like-things-i-love-4451642836,e-fulfilment medewerker,onbereikbaar,,,,,,,,,,,,,,
Thingsdata,thingsdata.nl,geraden en bevestigd,Sales Backoffice – Amsterdam,2026-07-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-backoffice-%E2%80%93-amsterdam-at-thingsdata-4441715955,online sales medewerker,ok,,,10,,feedbackcompany,,,0,onze dienstver,66044561,1022 WV,+31850443500,,
Tjoapack,tjoapack.com,geraden en bevestigd,IT Applications Specialist,2026-09-03,Etten-Leur,2,nee,https://nl.linkedin.com/jobs/view/it-applications-specialist-at-tjoapack-4460497753,webcare,ok,,,,hubspot,,,,0,,,4879 AC,+31(0)889871100,,
Tools4ever B.V.,tools4ever.com,geraden en bevestigd,Inside Sales medewerker,2026-09-10,Baarn,3,nee,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-at-tools4ever-b-v-4464199622,online sales medewerker,ok,,,6,,,,,0,,,3743 KJ,1(866)482-4414,,
Total Care Groep,totalcare.nl,geraden en bevestigd,ICT Applicatieontwikkelaar &amp; Beheerder | 32-40 uur,2026-09-14,Goirle,1,nee,https://nl.linkedin.com/jobs/view/ict-applicatieontwikkelaar-beheerder-32-40-uur-at-total-care-b-v-4467072434,webcare,ok,,,,,,,,0,onze dienstver,84502975,5406 NT,0031413285111,,
Total Packaging bv,totalpackaging.nl,geraden en bevestigd,Operator Vouwplak,2026-07-05,Harderwijk,3,nee,https://nl.linkedin.com/jobs/view/operator-vouwplak-at-total-packaging-bv-4436983433,packaging medewerker webshop,ok,,,5,hubspot,,,,0,,08172070,,+31 (0)341 23 20 0,,
Travelia,travelia.app,geraden en bevestigd,Sales medewerker binnendienst,2026-09-21,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/sales-medewerker-binnendienst-at-travelia-4464094511,online sales medewerker,ok,,,4,hubspot,loox,,,1,,88031624,7575 AB,,,
Tribe CRM,tribecrm.eu,geraden en bevestigd,Customer Care Officer (Dutch speaker),2026-09-22,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-care-officer-dutch-speaker-at-tribe-crm-4468905051,klantcontact,ok,,,7,hubspot,,,,0,,,,,,
TUI,tui.com,geraden en bevestigd,Senior CRM Manager - Loyalty &amp; Personalisation,2026-09-10,Rijswijk,2,nee,https://nl.linkedin.com/jobs/view/senior-crm-manager-loyalty-personalisation-at-tui-4465629697,customer journey specialist,ok,,,4,,trustpilot,,,0,,,,004951187989898,,
Unica,unica.be,geraden en bevestigd,Marketeer,2026-06-04,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/marketeer-at-unica-4423510484,content specialist webshop,ok,,,4,,,,,0,,,,+3251487136,,
Unigarant,unigarant.nl,geraden en bevestigd,Business Insight Analist,2026-09-21,Hoogeveen,1,nee,https://nl.linkedin.com/jobs/view/business-insight-analist-at-unigarant-4469851547,customer journey specialist,ok,,,,,,,,0,,,7901 EH,0882993882,,
Uniphar Group,uniphar.nl,geraden en bevestigd,Medewerker Werkvoorbereiding,2026-09-18,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/medewerker-werkvoorbereiding-at-uniphar-group-4440979361,packaging medewerker webshop,ok,,,,,,,,1,,,,,,
Univar Solutions,univarsolutionsnl.com,geraden en bevestigd,Customer Service Representative,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-univar-solutions-4450286269,klantenservice medewerker,ok,,,,,,,,1,,,,,,ja
UWV,uwv.nl,geraden en bevestigd,Invorderingsconsultent,2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/invorderingsconsultent-at-uwv-4462927371,retourverwerking,ok,,,,,,,,0,,,,,,
Van Dijk Flora,vandijkflora.nl,geraden en bevestigd,Meewerkend Voorman Logistiek,2026-09-07,Aalsmeer,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-logistiek-at-van-dijk-flora-bv-4452708042,voorraadbeheer webshop,ok,,,3,,,,,0,onze dienstver,,2675 LN,0174612000,,
Van Kaathoven,vankaathoven.nl,geraden en bevestigd,Belader bij Van Kaathoven in Weert,2026-02-17,Weert,1,nee,https://nl.linkedin.com/jobs/view/belader-bij-van-kaathoven-in-weert-at-van-kaathoven-4371995679,retourverwerking,ok,,,,,,,,0,,53896335,5741 PM,,,
Van Lanschot Kempen,vanlanschotkempen.com,geraden en bevestigd,Database Marketeer,2026-09-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/database-marketeer-at-van-lanschot-kempen-4454970602,customer journey specialist,ok,,,,,,,,0,onze dienstver,,0078FF,08001737,,
